SHOW,TYPE,NAME
SPACE PATROL,Announcer,Dick Tufelt
SPECTRUM,Host,Scott Beach
SPORTS DIGEST,Host,Al Helfer
SPOTLIGHT ALBUM,Host,Bud Whitem
SPOTLIGHT REVUE,Star,Doodles Weaver
SPOTLIGHT REVUE,Star,Dorothy Shay
SPOTLIGHT REVUE,Star,Spike Jones
SPOTLIGHT REVUE,Star,The City Slickers
STAGE CAREER,Star,Elaine Barrie Barrymore
STAGE STRUCK,Host,Mike Wallace
STAIRWAY TO THE STARS,Star,Howard Culver
STAND UP AND BE COUNTED,Announcer,Bud Collins
STAR-SPANGLED BANNER,Announcer,Gilbert Martin
STARRING BORIS KARLOFF,Announcer,George Gunn
STARS IN THE SPOTLIGHT,Star,Harold Collins
STOOPNAGLE AND BUDD,Announcer,Andre Baruch
STOOPNAGLE AND BUDD,Star,Budd Hulick
STOOPNAGLE AND BUDD,Star,F. Chase Taylor
STOP ME IF YOU'VE HEARD THIS ONE,Announcer,Dan Seymour
STOP ME IF YOU'VE HEARD THIS ONE,Host,Milton Berle
STORIES FROM THE AMERICAN SCENE,Host,Howard Culver
STRAIGHT ARROW,Star,Fred Howard
STRAIGHT ARROW,Star,Howard Culver
STRANGE,Host,Walter Gibson
STROKE OF FATE,Host,Walter Kiernan
STUDIO ONE,Host,Fletcher Markle
STYLES BY SIMEONE,Host,Arthur Gillmore
SUMMER STARS,Star,Joan Edwards
SUMMER STARS,Star,Louise Massey And Her Westerners
SURPRISE ENDINGS,Host,William Harrison
SUSPENSE STORY,Host,Ben Chandler
SUSPENSE STORY,Star,Dena Detrich
SUSPENSE STORY,Star,Jane Webb
SUSPENSE STORY,Star,Jesse White
SUSPENSE STORY,Star,Joseph Campanella
SWEENEY AND MARCH,Announcer,Bob LeMond
SWEENEY AND MARCH,Star,Bob Sweeney
SWEENEY AND MARCH,Star,Doris Singleton
SWEENEY AND MARCH,Star,Hal March
SWINGING AROUND THE CLOCK,Host,Don Wilson
SYMPHONIES FOR YOUTH,Announcer,Tony La Frano
T-MAN,Star,Dennis O'keefe
TAKE IT OR LEAVE IT,Host,Phil Baker
TALENT THEATER,Announcer,Frank Graham
TALENT THEATER,Host,Ginny Simms
TALES OF THE TEXAS RANGERS,Announcer,Hal Gibney
TALES OF THE TEXAS RANGERS,Star,Joel Mccrea
TALES OF TOMORROW,Host,Raymond Edward Johnson
TALES OF WILLIE PIPER,Star,Billy Redfield
TALES OF WILLIE PIPER,Star,Ruth Gilbert
TARZAN,Star,Lamont Johnson
TELL IT AGAIN,Announcer,John Jacobs
TELL ME A STORY,Host,Ida Lupino
TELL YOUR NEIGHBOR,Host,Walter Mason
TEN-TWO-FOUR RANCH,Announcer,Art Gilmore
TEN-TWO-FOUR RANCH,Star,Dick Foran
TEN-TWO-FOUR RANCH,Star,Martha Mears
TEN-TWO-FOUR RANCH,Star,The Sons Of The Pioneers
TENNESSEE PARTY TIME,Host,Ralph Christian
TENNESSEE PARTY TIME,Star,Winston County Pea Pickers
TEXACO STAR THEATER,Host,Adolphe Menjou
TEXACO STAR THEATER,Star,Frances Langford
TEXACO STAR THEATER,Star,Irene Ryan
TEXACO STAR THEATER,Announcer,Jimmy Wallington
TEXACO STAR THEATER,Star,Kenny Baker
TEXACO STAR THEATER SUMMER SHOW,Star,Bob Hannon
TEXACO STAR THEATER SUMMER SHOW,Star,Jane Forman
TEXACO STAR THEATER SUMMER SHOW,Announcer,Jimmy Wallington
THAT BREWSTER BOY,Star,Eddie Firestone Jr
THAT HAMMER GUY,Star,Larry Haines
THAT'S RICH,Star,Patti Chapman
THAT'S RICH,Star,Stan Freberg
THE ABBOTT AND COSTELLO SHOW,Star,Bud Abbott
THE ABBOTT AND COSTELLO SHOW,Announcer,Harry Von Zell
THE ABBOTT AND COSTELLO SHOW,Star,Lou Costello
THE ABE BURROWS SHOW,Star,Abe Burrows
THE ABE BURROWS SHOW,Announcer,Bob LeMond
THE ADVENTURES OF ANNIE OAKLEY AND TAGG,Announcer,Charles Lyon
THE ADVENTURES OF BABE RUTH,Host,Jackson Beck
THE ADVENTURES OF CHARLIE LUNG,Announcer,Bruce Anson
THE ADVENTURES OF CHRISTOPHER LONDON,Star,Glenn Ford
THE ADVENTURES OF ELLERY QUEEN,Star,Barbara Terrell
THE ADVENTURES OF ELLERY QUEEN,Announcer,Ken Roberts
THE ADVENTURES OF ELLERY QUEEN,Star,Santos Ortega
THE ADVENTURES OF ELLERY QUEEN,Star,Sydney Smith
THE ADVENTURES OF ELLERY QUEEN,Star,Ted De Corsia
THE ADVENTURES OF FATHER BROWN,Star,Karl Swenson
THE ADVENTURES OF FRANK MERRIWELL,Star,Elaine Rost
THE ADVENTURES OF FRANK MERRIWELL,Star,Hal Studer
THE ADVENTURES OF FRANK MERRIWELL,Announcer,Harlow Wilcox
THE ADVENTURES OF FRANK MERRIWELL,Star,Lawson Zerby
THE ADVENTURES OF FRANK RACE,Star,Paul Dubov
THE ADVENTURES OF FRANK RACE,Star,Tom Collins
THE ADVENTURES OF HORATIO HORNBLOWER,Star,Michael Redgrave
THE ADVENTURES OF JANE ARDEN,Announcer,Alan Kent
THE ADVENTURES OF JANE ARDEN,Star,Bill Baar
THE ADVENTURES OF JANE ARDEN,Star,Frank Provo
THE ADVENTURES OF JANE ARDEN,Star,Helene Dumas
THE ADVENTURES OF JANE ARDEN,Star,Henry Wadsworth
THE ADVENTURES OF JANE ARDEN,Star,Maurice Franklin
THE ADVENTURES OF JANE ARDEN,Star,Ruth Yorke
THE ADVENTURES OF JOHNNY LUJACK,Star,Johnny Lujack
THE ADVENTURES OF MAISIE,Star,Ann Sothern
THE ADVENTURES OF MICHAEL SHAYNE,Announcer,Charles Arlington
THE ADVENTURES OF MICHAEL SHAYNE,Star,Dorothy Donahue
THE ADVENTURES OF MICHAEL SHAYNE,Star,Vinton Hayworth
THE ADVENTURES OF NERO WOLFE,Announcer,Don Stanley
THE ADVENTURES OF NERO WOLFE,Star,Elliott Lewis
THE ADVENTURES OF NERO WOLFE,Star,Sidney Greenstreet
THE ADVENTURES OF OZZIE AND HARRIET,Star,David Nelson
THE ADVENTURES OF OZZIE AND HARRIET,Star,Harriet Nelson
THE ADVENTURES OF OZZIE AND HARRIET,Star,Ozzie Nelson
THE ADVENTURES OF OZZIE AND HARRIET,Star,Ricky Nelson
THE ADVENTURES OF PAUL TEMPLE ,Star,Marjorie Westbury
THE ADVENTURES OF PAUL TEMPLE ,Star,Peter Cook
THE ADVENTURES OF PHILIP MARLOWE,Star,Ed Bishop
THE ADVENTURES OF ROBIN HOOD,Star,Alan Reed
THE ADVENTURES OF ROBIN HOOD,Announcer,Larry Thor
THE ADVENTURES OF ROBIN HOOD,Star,Robert Clark
THE ADVENTURES OF ROCKY JORDAN,Star,Jack Moyles
THE ADVENTURES OF ROCKY JORDAN,Star,Jay Novello
THE ADVENTURES OF ROCKY JORDAN,Announcer,Larry Thor
THE ADVENTURES OF SALLY IN HOLLYWOOD LAND,Star,Billy Fletcher
THE ADVENTURES OF SALLY IN HOLLYWOOD LAND,Star,Herb Lytton
THE ADVENTURES OF SALLY IN HOLLYWOOD LAND,Star,June Foray
THE ADVENTURES OF SALLY IN HOLLYWOOD LAND,Star,Norma Jean Nilsson
THE ADVENTURES OF SALLY IN HOLLYWOOD LAND,Star,Sarah Brenner
THE ADVENTURES OF SALLY IN HOLLYWOOD LAND,Star,Theodore Von Eltz
THE ADVENTURES OF SAM SPADE,Star,Lurene Tuttle
THE ADVENTURES OF SAM SPADE,Star,Steve Dunn
THE ADVENTURES OF THE SCARLET CLOAK,Star,Wendell Niles
THE AL PEARCE SHOW,Star,Al Pearce
THE AL PEARCE SHOW,Announcer,Johnny Wolfe
THE ALADDIN KEROSENE MANTLE LAMP PROGRAM,Star,Andy Walker
THE ALAN YOUNG SHOW,Star,Diane Courtney
THE ALAN YOUNG SHOW,Star,Ed Begley
THE ALAN YOUNG SHOW,Star,Jean Gillespie
THE ALAN YOUNG SHOW,Star,Jim Backus
THE ALAN YOUNG SHOW,Announcer,Michael Roy
THE AMAZING MR. MALONE,Star,George Petrie
THE AMAZING MR. TUTT,Star,John Beal
THE AMAZING MR. TUTT,Star,Will Wright
THE ANDREWS SISTERS,Announcer,Andre Baruch
THE ANDREWS SISTERS,Star,Curt Massey
THE ANDREWS SISTERS,Star,The Andrews Sisters
THE AVENGER,Star,Dick Janiver
THE AVENGER,Star,James Monks
THE BABBITT SISTERS IN ANOTHER PART OF HOLLYWOO,Announcer,David Jordan
THE BABY SNOOKS SHOW,Star,Fanny Bryce
THE BABY SNOOKS SHOW,Star,Hanley Stafford
THE BAKER'S BROADCAST,Announcer,Bud Hiestand
THE BAKER'S BROADCAST,Host,Feg Murray
THE BAKER'S BROADCAST,Star,Harriet Hilliard
THE BAKER'S BROADCAST,Star,Ozzie Nelson
THE BARBARA WELLES SHOW,Host,Barbara Welles
THE BEATRICE KAYE SHOW,Star,Beatrice Kay
THE BEN BERNIE SHOW,Star,Ben Bernie
THE BETTER HALF,Host,Tiny Ruffner
THE BEULAH SHOW,Star,Amanda Randolph
THE BEULAH SHOW,Star,Ernie Whitman
THE BEULAH SHOW,Star,Hugh Studebaker
THE BEULAH SHOW,Announcer,Johnny Jacobs
THE BEULAH SHOW,Star,Mary Jane Croft
THE BEULAH SHOW,Star,Ruby Dandridge
THE BEULAH SHOW,Star,Sammie Ogg
THE BICKERSONS,Star,Frances Langford
THE BICKERSONS,Star,Lew Parker
THE BIG GUY,Star,David Anderson
THE BIG GUY,Announcer,Fred Collins
THE BIG GUY,Star,Joan Laser
THE BIG GUY,Star,John Calvin
THE BIG STORY,Announcer,Ernest Chappell
THE BIG TIME,Star,Georgie Price
THE BIG TIME,Star,Georgie Price And The Big Timers
THE BILLY GRAY BANDBOX,Star,Billy Gray
THE BILLY MAY SHOW,Announcer,Hy Averback
THE BING CROSBY SHOW,Host,Bing Crosby
THE BING CROSBY SHOW,Announcer,Harry Von Zell
THE BLACK BOOK,Star,Paul Frees
THE BLUE BEETLE,Star,Frank Lovejoy
THE BOB AND RAY SHOW,Star,Bob Elliot
THE BOB AND RAY SHOW,Star,Ray Goulding
THE BOB BURNS PROGRAM,Star,Bob Burns
THE BOB CROSBY SHOW,Star,Bob Crosby
THE BOB CROSBY SHOW,Star,Bob Crosby And The Bobcats
THE BOB CROSBY SHOW,Star,Jeri Sullivan
THE BOB CROSBY SHOW,Announcer,Larry Keating
THE BOB CROSBY SHOW,Star,The Town Criers
THE BOB HOPE SHOW,Star,Bob Hope
THE BOB HOPE SHOW,Announcer,Fred Uttal
THE BOB SMITH SHOW,Star,Bob Smith
THE BORDEN PROGRAM,Host,Thomas L. Thomas
THE CANARY PET SHOW,Host,Jess Kirkpatrick
THE CASEBOOK OF GREGORY HOOD,Star,Elliott Lewis
THE CASEBOOK OF GREGORY HOOD,Star,Howard Mcnear
THE CELANESE HOUR,Announcer,George Putnam
THE CHARLIE MCCARTHY SHOW,Star,Anita Gordon
THE CHARLIE MCCARTHY SHOW,Star,Charlie Mccarthy
THE CHARLIE MCCARTHY SHOW,Star,Edgar Bergen
THE CHARLIE MCCARTHY SHOW,Host,Jim Ameche
THE CHARLIE MCCARTHY SHOW,Star,Pat Patrick
THE CHARLIE MCCARTHY SHOW,Announcer,Wendell Niles
THE CHARLIE RUGGLES SHOW,Host,Charlie Ruggles
THE CHARLIE RUGGLES SHOW,Announcer,Harlow Wilcox
THE CHARLOTTE GREENWOOD SHOW,Announcer,Wendell Niles
THE CHASE,Announcer,Fred Collins
THE CHESTERFIELD MUSIC SHOP,Star,Jo Stafford
THE CHESTERFIELD MUSIC SHOP,Star,Johnny Mercer
THE CHESTERFIELD MUSIC SHOP,Star,June Hutton
THE CHESTERFIELD MUSIC SHOP,Star,Paul Weston Orchestra
THE CHESTERFIELD MUSIC SHOP,Star,The Pied Pipers
THE CHESTERFIELD MUSIC SHOP,Announcer,Wendell Niles
THE CHESTERFIELD SUPPER CLUB,Star,Jo Stafford
THE CHESTERFIELD SUPPER CLUB,Host,Martin Block
THE CHESTERFIELD SUPPER CLUB,Star,Perry Como
THE CIRCLE,Star,Carole Lombard
THE CIRCLE,Star,Cary Grant
THE CIRCLE,Star,Chico Marx
THE CIRCLE,Announcer,Gordon Fraser
THE CIRCLE,Star,Groucho Marx
THE CIRCLE,Host,Ronald Colman
THE CIRCLE ARROW SHOW,Star,Jimmy Leonard
THE CISCO KID,Star,Harry Lang
THE CISCO KID,Star,Jack Mather
THE CLINT NOBLE PROGRAM,Announcer,Milton Cross
THE CLOCK,Star,Cathy Lewis
THE CLOCK,Star,Elliott Lewis
THE CLOCK,Announcer,Gene Kirby
THE CLYDE BEATTY SHOW,Star,Eve Mcveagh
THE CLYDE BEATTY SHOW,Star,Vic Perrin
THE COBBS,Star,Hope Emerson
THE COBBS,Star,William Demarest
THE COCA COLA TOP NOTCHERS,Host,Graham Mcnamee
THE COLGATE HOUSE PARTY,Announcer,Alois Havrilla
THE COLGATE HOUSE PARTY,Star,Donald Novis
THE COLGATE HOUSE PARTY,Star,Frances Langford
THE COLGATE HOUSE PARTY,Host,Joe Cook
THE COMEDY PLAYHOUSE,Host,Jack Lafrandre
THE COMEDY PLAYHOUSE,Announcer,John Mallow
THE COMEDY WRITER,Host,Ben Brady
THE CONNEE BOSWELL SHOW,Star,Bobby Doyle
THE CONNEE BOSWELL SHOW,Star,Connee Boswell
THE CONNEE BOSWELL SHOW,Announcer,Jack Mccarthy
THE CONNEE BOSWELL SHOW,Star,Ted Husing
THE COUNT OF MONTE CRISTO,Star,Betty Lou Gerson
THE COUNT OF MONTE CRISTO,Star,Carlton Young
THE COUNTRY EDITOR,Star,Bob Burns
THE CRIME CLUB,Host,Raymond Edward Johnson
THE CRIME FILES OF FLAMOND,Announcer,Jack Callahan
THE CRIME FILES OF FLAMOND,Star,Patricia Dunlap
THE CRIME FILES OF FLAMOND,Star,William Everett
THE CRUISE OF THE POLL PARROT,Announcer,Dave Ward
THE CURTAIN OF TIME,Announcer,Harlow Wilcox
THE CURTAIN OF TIME,Star,Jeff Corey
THE DANNY KAYE SHOW,Star,Danny Kaye
THE DANNY KAYE SHOW,Star,Eve Arden
THE DANNY KAYE SHOW,Star,Harry James And His Music Makers
THE DANNY KAYE SHOW,Star,Lional Stander
THE DAY OF THE TRIFFIDS,Star,Gabriel Blunt
THE DAY OF THE TRIFFIDS,Star,Monica Gray
THE DAY OF THE TRIFFIDS,Star,Patrick Barr
THE DEFENSE RESTS,Star,Mercedes Mccambridge
THE DOCTOR FIGHTS,Announcer,Jimmy Wallington
THE DON AMECHE SHOW,Star,Pinky Lee
THE DON AMECHE SHOW,Star,Swing Choir
THE DON AMECHE SHOW,Star,Truman Bradley
THE DRENE SHOW,Star,Don Ameche
THE DRENE SHOW,Star,Jonell Jones
THE DRENE SHOW,Star,Pinky Lee
THE EASY ACES,Star,Goodman Ace
THE EASY ACES,Star,Jane Ace
THE EDDIE AND RALPH SHOW,Star,Ed East
THE EDDIE AND RALPH SHOW,Announcer,Jack Costello
THE EDDIE AND RALPH SHOW,Star,Ralph Dumke
THE EDDIE BRACKEN SHOW,Star,Ann Ruthford
THE EDDIE BRACKEN SHOW,Star,Eddie Bracken
THE EDDIE BRACKEN SHOW,Star,Janet Waldo
THE EDDIE BRACKEN SHOW,Announcer,Jimmy Wallington
THE EDDIE BRACKEN SHOW,Star,William Demarest
THE EDDIE CANTOR SHOW,Announcer,Jimmy Wallington
THE EDDY ARNOLD SHOW,Announcer,Charlie Brown
THE ELROY HIRSCH SPORTS SHOW,Host,"Elroy ""crazy Legs"" Hirsch"
THE EMPIRE BUILDERS,Star,Harvey Hayes
THE EMPIRE BUILDERS,Announcer,Ted Pearson
THE ENCHANTED HOUR,Star,Henry Weber Orchestra
THE ENCHANTED HOUR,Star,Nancy Carr
THE ENDLESS FRONTIER,Host,Raymond Massey
THE FACT FINDER,Host,Fred G. Clark
THE FALSTAFF SHOW,Host,Ransom Sherman
THE FAMILY HOUR OF STARS,Announcer,Truman Bradley
THE FAT MAN,Star,J. Scott Smart
THE FEELING IS MUTUAL,Star,4 Little Sisters
THE FEELING IS MUTUAL,Star,Andy Williams
THE FEELING IS MUTUAL,Host,Ed Stevens
THE FEELING IS MUTUAL,Star,Harry Zimmerman Orchestra
THE FIGHTING PARSON,Star,Reverend E.J. Rawlings
THE FIRE CHIEF CONCERT,Star,Charles Henderson's Singing Razorbacks
THE FIRE CHIEF CONCERT,Star,Donald Novis
THE FIRE CHIEF CONCERT,Star,Gloria Grafton
THE FIRE CHIEF CONCERT,Announcer,Louis A. Witten
THE FIRE CHIEF PROGRAM,Star,Ed Wynn
THE FIRST NIGHTER PROGRAM,Star,Barbara Luddy
THE FIRST NIGHTER PROGRAM,Star,Olan Soule
THE FOUNTAIN OF FUN,Host,Bob Jellison
THE FOUNTAIN OF FUN,Announcer,Don Cornell
THE FOUNTAIN OF FUN,Star,Phil Brito
THE FOUNTAIN OF FUN,Star,The Thrasher Sisters
THE FRANCES LANGFORD SHOW,Announcer,Toby Reed
THE FRANK FONTAINE SHOW,Star,Frank Fontaine
THE FRANK FONTAINE SHOW,Announcer,Harry Von Zell
THE FRANK FONTAINE SHOW,Star,The Fontaine Children
THE FRANK MORGAN SHOW,Star,Cass Daley
THE FRANK MORGAN SHOW,Star,Eric Blore
THE FRANK MORGAN SHOW,Announcer,Harlow Wilcox
THE FRANK MORGAN SHOW,Host,Robert Young
THE FRANK PARKER SHOW,Announcer,Andre Baruch
THE FRANK PARKER SHOW,Star,Frank Parker
THE FRED ALLEN SHOW,Star,Fred Allen
THE FRED ALLEN SHOW,Announcer,Ken Roberts
THE FRED ALLEN SHOW,Star,Portland Hoffa
THE FRED WARING SHOW,Announcer,Andre Baruch
THE FRED WARING SHOW,Star,Fred Waring
THE FREE COMPANY,Host,Burgess Meredith
THE GARDEN GATE,Announcer,Paul Oliphant
THE GENERAL,Star,Roy Shields And His Orchestra
THE GENERAL MOTORS SYMPHONY CONCERT,Host,Milton Cross
THE GENTLEMAN ADVENTURER,Star,James Mehan
THE GEORGE BYRON SHOW,Star,George Byron
THE GOOD GULF PROGRAM,Star,Al Goodman
THE GOOD GULF PROGRAM,Star,The Revelers
THE GOOD GULF PROGRAM,Star,Will Rogers
THE GORDON MACRAE SHOW,Star,Gordon Macrae
THE GRACIE FIELDS SHOW,Announcer,Bill Goodwin
THE GREAT GILDERSLEEVE,Star,Earle Ross
THE GREAT GILDERSLEEVE,Star,Harold Peary
THE GREAT GILDERSLEEVE,Star,Lillian Randolph
THE GREAT GILDERSLEEVE,Star,Richard Le Grand
THE GREAT GILDERSLEEVE,Star,Walter Tetley
THE GREAT GILDERSLEEVE,Star,Willard Waterman
THE GREATEST STORY EVER TOLD,Star,Warren Parker
THE GREEN LAMA,Announcer,Larry Thor
THE GREEN LAMA,Star,Paul Frees
THE GROUCH CLUB,Announcer,Cliff Howell
THE GROUCH CLUB,Host,Jack Lescoulie
THE GUY LOMBARDO SHOW,Star,Guy Lombardo And His Royal Canadians
THE HALLS OF IVY,Star,Benita Hume
THE HALLS OF IVY,Star,Ronald Colman
THE HAPPINESS BOYS,Star,Billy Jones
THE HAPPINESS BOYS,Star,Ernie Hare
THE HARDY FAMILY,Star,Fay Holden
THE HARDY FAMILY,Star,Lewis Stone
THE HARDY FAMILY,Star,Mickey Rooney
THE HARRY REVEL SHOW,Announcer,Charlie Mountain
THE HARRY REVEL SHOW,Host,Hugh Downs
THE HARRY VON ZELL SHOW,Announcer,Marvin Miller
THE HARVEST OF STARS,Star,James Melton
THE HARVEST OF STARS,Host,Raymond Massey
THE HENRY MORGAN SHOW,Star,Henry Morgan
THE HILLMAN HOUR,Host,George Jay
THE HOLLYWOOD PLAYERS,Announcer,Frank Bingham
THE HONORABLE ARCHIE,Star,Cliff Arquette
THE HONORABLE ARCHIE,Announcer,Frederick Shields
THE HONORABLE ARCHIE,Star,Martha Wentworth
THE HONORABLE ARCHIE,Star,Mitzie Lamar
THE HONORABLE ARCHIE,Star,Reginald Sharland
THE HONORABLE ARCHIE,Star,Sylvia Jones
THE HOOFERS,Star,Alice Smith
THE HOTPOINT HOLIDAY HOUR,Host,John Garfield
THE HOUSE OF GLASS,Star,Arnold Stang
THE HOUSE OF GLASS,Star,Gertrude Berg
THE HOUSE OF GLASS,Star,Joseph Buloff
THE JACK BENNY SHOW,Announcer,Howard Claney
THE JACK BENNY SHOW,Star,Jack Benny
THE JACK BERCH SHOW,Star,Eddie Dunn
THE JACK BERCH SHOW,Star,Tony Motolla
THE JACK CARSON SHOW,Announcer,Del Sharbutt
THE JACK HALEY SHOW,Star,Jack Haley
THE JACK HALEY SHOW,Announcer,Warren Hull
THE JACK KIRKWOOD SHOW,Star,Billy Gray
THE JACK KIRKWOOD SHOW,Star,Frank Nelson
THE JACK KIRKWOOD SHOW,Star,Gene La Valle
THE JACK KIRKWOOD SHOW,Star,Jack Kirkwood
THE JACK KIRKWOOD SHOW,Announcer,Jimmy Wallington
THE JACK KIRKWOOD SHOW,Star,Lillian Lee
THE JACK KIRKWOOD SHOW,Star,Mel Blanc
THE JACK KIRKWOOD SHOW,Star,Ruth Perrott
THE JACK PAAR SHOW,Announcer,Hy Averback
THE JACK PAAR SHOW,Star,Jack Paar
THE JACKIE HILL SHOW,Announcer,Frank Doyle
THE JAMES MELTON SHOW,Star,Ed Wynn
THE JAMES MELTON SHOW,Star,James Melton
THE JANE PICKENS SHOW,Host,Jane Pickens
THE JANE PICKENS SHOW,Announcer,Tex Antoine
THE JIMMY DURANTE AND GARRY MOORE SHOW,Announcer,Howard Petrie
THE JIMMY DURANTE SHOW,Announcer,Howard Petrie
THE JIMMY DURANTE SHOW,Star,Jimmy Durante
THE JIMMY DURANTE SHOW,Star,Ruth Etting
THE JOAN DAVIS SHOW,Announcer,Ben Gage
THE JOAN DAVIS SHOW,Star,Joan Davis
THE JOE E BROWN SHOW,Announcer,Terry Deer
THE JOE MCDOAKS SHOW,Star,Clifton Young
THE JOE MCDOAKS SHOW,Star,George O'hanlon
THE JOE MCDOAKS SHOW,Star,Marcie Mcguire
THE JOE PENNER SHOW,Announcer,Bill Goodwin
THE JOE PENNER SHOW,Star,Joe Penner
THE JOHN CHARLES THOMAS SHOW,Star,John Charles Thomas
THE JUDGE,Announcer,Clarence Cassell
THE JUDGE,Star,John Dehner
THE JUDGE,Star,Larry Dobkin
THE JUDY CANOVA SHOW,Star,Jeff Chandler
THE JUDY CANOVA SHOW,Star,Jimmy Dorsey
THE JUDY CANOVA SHOW,Star,Johnny Desmond
THE JUDY CANOVA SHOW,Star,Judy Canova
THE JUDY CANOVA SHOW,Star,Paul Nero
THE JUDY CANOVA SHOW,Star,Perry Botkin
THE JUDY CANOVA SHOW,Star,Rudy Wissler
THE JUDY CANOVA SHOW,Star,The Mello-men
THE JUDY CANOVA SHOW,Star,Tommy Dorsey
THE JUMPING BEANS,Host,Beans Taylor
THE KENNY BAKER SHOW,Announcer,Ken Niles
THE KENNY BAKER SHOW,Star,Kenny Baker
THE KID ON THE CORNER,Star,Sheldon Leonard
THE KID ON THE CORNER,Star,Walter Tetley
THE KID ON THE CORNER,Announcer,Wendell Niles
THE KIIS HALL OF HORRORS,Host,Vincent Price
THE LAUREL AND HARDY SHOW,Star,Oliver Hardy
THE LAUREL AND HARDY SHOW,Star,Stan Laurel
THE LEE SIMMS SHOW,Announcer,Don Pardo
THE LEE SIMMS SHOW,Star,Lee Simms
THE LES PAUL SHOW,Star,Les Paul Trio
THE LIFE OF RILEY,Announcer,Ken Niles
THE LIFE OF RILEY,Star,William Bendix
THE LIFEBUOY SHOW,Host,Walter O'keefe
THE LIGHT OF THE WORLD,Star,Bret Morrison
THE LION'S ROAR,Star,Frederick Chase Taylor
THE LISTENING POST,Host,Paul Luther
THE LITTLE SHOW,Star,Del Courtney Orchestra
THE LIVES OF HARRY LIME,Star,Orson Welles
THE LONE RANGER,Star,Earle Graser
THE LONE RANGER,Star,John Todd
THE LOUELLA PARSONS SHOW,Host,Louella Parsons
THE LOUELLA PARSONS SHOW,Announcer,Marvin Miller
THE MAGIC OF MUSIC,Host,Bob Osterberg
THE MAGIC OF MUSIC,Announcer,Dick Sinclair
THE MAGNIFICENT MONTAGUE,Star,Anne Seymour
THE MAGNIFICENT MONTAGUE,Announcer,Don Pardo
THE MAGNIFICENT MONTAGUE,Star,Monty Woolley
THE MAGNIFICENT MONTAGUE,Star,Pert Kelton
THE MAN BEHIND THE MASTERPIECE,Host,Dr. Bernard Meyers
THE MAN CALLED X,Star,Herbert Marshall
THE MAN CALLED X,Announcer,Wendell Niles
THE MAN IN BLACK,Star,Paul Frees
THE MARIO LANZA SHOW,Announcer,Bill Baldwin
THE MARIO LANZA SHOW,Star,Giselle Mackensie
THE MARIO LANZA SHOW,Star,Mario Lanza
THE MARRIAGE,Announcer,Bob Denton
THE MARTIN AND LEWIS SHOW,Star,Ben Alexander
THE MARTIN AND LEWIS SHOW,Star,Dean Martin
THE MARTIN AND LEWIS SHOW,Star,Jerry Lewis
THE MARTIN AND LEWIS SHOW,Star,Sheldon Leonard
THE MARY SMALL SHOW,Announcer,Bud Collyer
THE MARY SMALL SHOW,Star,Mary Small
THE MCCOY,Star,Howard Duff
THE MCCOY,Star,Sheldon Leonard
THE MGM THEATER OF THE AIR,Host,Howard Dietz
THE MICKEY MOUSE THEATER OF THE AIR,Star,Clarence Nash
THE MICKEY MOUSE THEATER OF THE AIR,Star,Florence Gill
THE MICKEY MOUSE THEATER OF THE AIR,Host,John Hiestan
THE MICKEY MOUSE THEATER OF THE AIR,Star,Stuart Buchanan
THE MICKEY MOUSE THEATER OF THE AIR,Star,Thelma Boardman
THE MICKEY MOUSE THEATER OF THE AIR,Star,Walt Disney
THE MILTON BERLE SHOW,Announcer,Frank Gallop
THE MINDY CARSON SHOW,Announcer,Don Pardo
THE MINDY CARSON SHOW,Star,Mindy Carson
THE MINSTREL TRAIN,Announcer,Carl Warren
THE MINSTREL TRAIN,Star,Cecil Roy
THE MINSTREL TRAIN,Star,Elizabeth Morgan
THE MINSTREL TRAIN,Star,Florence Mcmichael
THE MINSTREL TRAIN,Star,Tiny Ruffner
THE MITCH MILLER SHOW,Announcer,Stuart Best
THE MODERN ADVENTURES OF CASANOVA,Star,Errol Flynn
THE MOONSTONE,Star,James Tomlson
THE MUTUAL RADIO THEATER,Announcer,John Harlen
THE MYSTERIOUS TRAVELER,Star,Maurice Tarplin
THE NATE GROSS SHOW,Announcer,Everett Clarke
THE NAVEL AIR RESERVE SHOW,Star,Jim Ameche
THE NELSON EDDY SHOW,Announcer,Frank Graham
THE NELSON EDDY SHOW,Star,Nelson Eddy
THE NESTLE PROGRAM,Star,Evelyn Case
THE NEW SWAN SHOW,Announcer,Frank Graham
THE NEW SWAN SHOW,Star,Tommy Riggs
THE NEW SWAN SHOW,Star,Verna Felton
THE NOTORIOUS TARIQ,Star,Turhan Bay
THE OLD GOLD COMEDY THEATER,Announcer,Bob Williams
THE OLD GOLD COMEDY THEATER,Host,Harold Lloyd
THE OLSEN AND JOHNSON SHOW,Star,Chick Johson
THE OLSEN AND JOHNSON SHOW,Star,Gertrude Neisen
THE OLSEN AND JOHNSON SHOW,Star,Ole Olsen
THE P.A.L. SHOW,Host,Stan Lomax
THE PACKARD HOUR,Host,Fred Astaire
THE PACKARD HOUR,Announcer,Ken Carpenter
THE PACKARD SUMMER HOUR,Star,Johnny Green
THE PAUL WHITEMAN SHOW,Star,Eugenie Baird
THE PAUL WHITEMAN SHOW,Star,Johnny Thompson
THE PAUL WHITEMAN SHOW,Announcer,Paul Douglas
THE PAUL WHITEMAN SHOW,Star,The Joe Moony Quartet
